"qid","annotator","n_words","question_bn","paraphrase","pii_removed","notes"
"ajke_0144_02","Sorup","14","৯০ দিন পর যদি আমরা আবার সংসার করতে চাই, তাহলে কি হিল্লা করাতে হবে?","৯০ দিন পার হওয়ার পর আমরা যদি আবার একসাথে ঘর-সংসার শুরু করতে চাই, তখন কি হিল্লা বিয়ে করাতেই হবে?","no","Follow-up fragment: the earlier context (the talaq) is not in the text"
"ajke_0160_01","Sorup","34","কিন্তু স্বামী আমাকে কিছু বলেনি এবং ডিভোর্সও দিচ্ছে না। আমি বলেছি, আমার কোনো দাবি নেই। তবু আমার শ্বশুরবাড়ির লোকজন চায়, আমি ডিভোর্স পেপার দিই। কিন্তু আমি দিতে চাই না। এমন অবস্থায় কী করতে পারি?","কিন্তু আমার স্বামী নিজে আমাকে কিছুই জানায়নি, ডিভোর্সও দিচ্ছে না। আমি তো বলেই দিয়েছি, আমার কিছু চাওয়ার নেই। তারপরও শ্বশুরবাড়ির লোকেরা চাইছে আমিই ডিভোর্সের কাগজ পাঠাই। আমি সেটা দিতে রাজি না। এই অবস্থায় আমার কী করার আছে?","no","Text starts mid-story (beginning cut off)"
"ajke_0170_01","Sorup","64","নিরাপদ এবং নিশ্চিত কর্মপরিবেশ পাওয়া যেকোনো কর্মজীবী মানুষের একটি মৌলিক চাহিদা। কর্মপরিবেশ ও কর্মস্থল নিরাপদ যদি না হয়, সেখানে নারী কিংবা পুরুষ—কেউ নিরাপদ নন। আর এ বিষয়টি শুধু চাকরিজীবনে নয়, ব্যক্তিগত জীবনেও মানসিক চাপ সৃষ্টি করে। হেঁটে গেলে অন্য সহকর্মীরা আপনার দিকে কীভাবে তাকাচ্ছেন, কিংবা দুজন সহকর্মী দাঁড়িয়ে আপনাকে নিয়ে কী ধরনের মন্তব্য করছেন, এটা ভেবেই যদি সময় চলে যায়, তাহলে কাজ করবেন কখন?","যে কোনো চাকরিজীবী মানুষের জন্য নিরাপদ আর নিশ্চিন্ত একটা কাজের জায়গা থাকা খুব দরকারি। অফিস বা কাজের পরিবেশ যদি নিরাপদ না হয়, তাহলে মেয়ে হোক বা ছেলে, কেউই সেখানে নিরাপদ না। আর এর চাপ শুধু চাকরিতেই থাকে না, ব্যক্তিগত জীবনেও মনের ওপর পড়ে। হাঁটার সময় সহকর্মীরা কীভাবে তাকাচ্ছে, বা দুজন দাঁড়িয়ে আপনাকে নিয়ে কী বলাবলি করছে, এসব ভাবতে ভাবতেই যদি দিন চলে যায়, তাহলে কাজটা করবেন কখন?","no","No explicit question; reads like a column intro about workplace harassment"
"ajke_0180_01","Sorup","8","স্বামীর শারীরিক নির্যাতন থেকে বাঁচতে কী করা যায়?","স্বামী গায়ে হাত তোলে, এই মারধর থেকে বাঁচার উপায় কী?","no",""
"ajke_0195_01","Sorup","75","প্রশ্ন: আমি একজন গ্রাফিকস ডিজাইনার। অনলাইনে বিভিন্ন ক্লায়েন্টের কাজ করে থাকি। কিন্তু অনেক সময় দেখা যায়, কিছু অসভ্য মানুষ প্রচুর পরিমাণে কাজ করিয়ে নিয়ে আইডি ব্লক করে দেয় অথবা কথা ঘোরানোসহ বিভিন্ন ধরনের ঝামেলা করে থাকে। এগুলো কোনো নতুন ঘটনা নয়। অনেকের সঙ্গেই এ ধরনের প্রতারণা হয়ে থাকে। আমি যে ক্লায়েন্টের কাজ করেছিলাম, তিনি দুবাইপ্রবাসী সিলেটের বাসিন্দা। এই মুহূর্তে আমি তাঁর কাছ থেকে কীভাবে টাকা আদায় করতে পারি অথবা কী ব্যবস্থা নিতে পারি তাঁর বিরুদ্ধে?","আমি গ্রাফিক ডিজাইনের কাজ করি। অনলাইনে নানা ক্লায়েন্টের হয়ে কাজ করে থাকি। কিন্তু প্রায়ই দেখি, কিছু বাজে লোক একগাদা কাজ করিয়ে নিয়ে তারপর আইডি ব্লক করে দেয়, নয়তো কথা ঘুরিয়ে নানা রকম ঝামেলা বাধায়। এসব নতুন কিছু না, অনেকের সাথেই এমন ঠকবাজি হয়। আমি যে ক্লায়েন্টের কাজ করেছিলাম, তিনি দুবাইতে থাকেন, তবে দেশের বাড়ি বাংলাদেশেই। এখন তাঁর কাছ থেকে আমার পাওনা টাকা কীভাবে আদায় করব, বা তাঁর বিরুদ্ধে কী ব্যবস্থা নিতে পারি?","yes","Removed client's home district"
"dail_0594_01","Sorup","80","Copyright: Any unauthorized use or reproduction of The Daily Star content for commercial purposes is strictly prohibited and constitutes copyright infringement liable to legal action. One of my Muslim friends is in love with a Hindu girl for quite a long time. Now they have decided to marry each other. Their family members do not want them to be married. They are adults and have already left their parents’ houses. Can they marry as they belong to two separate religions?","A friend of mine who is Muslim has been in a relationship with a Hindu girl for a long time, and now the two of them have made up their minds to get married. Both families are against it. They are both adults and have already moved out of their parents' homes. Since they follow two different religions, is it possible for them to marry each other?","no","Daily Star copyright boilerplate glued at the start; dropped. Kept in English like the original"
"lawy_0221_01","Sorup","12","নারী ও শিশু নির্যাতন দমন আইনের মামলায় কখন, কীভাবে জামিন পেতে পারেন?","নারী ও শিশু নির্যাতন দমন আইনে মামলা হলে জামিন কখন পাওয়া যায়, আর পেতে হলে কী করতে হয়?","no","Headline-style (article title), not a citizen's letter"
"lawy_0287_01","Sorup","9","নাবালকের বৈধ অভিভাবকত্ব ও সম্পদ বিক্রয়: আইন কি বলে?","নাবালকের আসল অভিভাবক কে, আর তার সম্পত্তি বেচা যায় কি: আইনে কী আছে?","no","Headline-style (article title)"
"lawy_0456_01","Sorup","10","করোনার ছুটিতে চেক ডিজঅনার মামলার মেয়াদ উত্তীর্ণ হলে কি হবে?","করোনার ছুটির মধ্যে চেক ডিসঅনারের মামলা করার সময়টা পার হয়ে গেলে এখন কী হবে?","no","Headline-style (article title)"
"prot_0000_01","Sorup","44","আমি একজনকে ভালোবাসি, সেও আমাকে ভালোবাসে। আমাদের সম্পর্ক চার বছরের। তাকে বাড়ি থেকে বিয়ে দিতে চাচ্ছে। আর আমিও এখনো কিছু করছি না। আমাদের সম্পর্কও মানছে না দুই পরিবার। আমরা আমাদের সম্পর্ককে এফিডেভিট করে রাখতে চাচ্ছি। এফিডেভিট করলে কি আমরা আমাদের সম্পর্ককে ধরে রাখতে পারব?","একজনকে আমি ভালোবাসি, সেও আমাকে ভালোবাসে। চার বছর ধরে আমাদের সম্পর্ক। এখন তার বাড়ি থেকে তাকে অন্য জায়গায় বিয়ে দিতে চাইছে। আমিও এখন পর্যন্ত কিছু করে উঠতে পারিনি। দুই পরিবারের কেউই আমাদের সম্পর্ক মানছে না। আমরা ভাবছি এফিডেভিট করে সম্পর্কটা কাগজে লিখে রাখব। এফিডেভিট করলে কি আমরা সম্পর্কটা টিকিয়ে রাখতে পারব?","no",""
