qid,annotator,n_words,question_bn,paraphrase,pii_removed,notes,merged_from
ajke_0139_01,Sarwad,22,আমি একজন উদ্যোক্তা। ছয় বছর ধরে রেজিনের পণ্য তৈরি ও বিপণন করছি। পণ্যের ডিজাইন নিজেই করি। সেগুলো কীভাবে কপিরাইট করে নিতে পারি?,আমি ছয় বছর ধরে নিজের নকশায় রেজিনের জিনিস বানিয়ে বিক্রি করছি। আমার তৈরি ডিজাইনগুলো কপিরাইটের আওতায় আনতে কী করতে হবে?,no,,
ajke_0147_01,Sarwad,53,"সবাই মিলে কিছুটা জোর করে আমাদের ওই পরিবারে যুক্ত করতে চাচ্ছেন। তবে আমি সেই বিষয়ে অনিচ্ছা প্রকাশ করলে তাঁরা আমার সঙ্গে দুর্ব্যবহার করেন। আমার ধারণা, জমিজমার কারণে তাঁরা আমার ছেলেকে কোনোভাবে তাঁদের পক্ষে করার চেষ্টা চালাচ্ছেন। আমি এ ধরনের কোনো সমস্যায় পড়তে চাই না। এর বিরুদ্ধে কি আমি কোনো আইনি পদক্ষেপ নিতে পারি?",জমিজমার স্বার্থে আত্মীয়েরা জোর করে আমাদের ওই পরিবারের সঙ্গে যুক্ত করতে চাইছেন। আমি আপত্তি করায় দুর্ব্যবহার করছেন এবং আমার ছেলেকে নিজেদের পক্ষে টানছেন। এর বিরুদ্ধে আইনি ব্যবস্থা নিতে পারি কি?,no,,
ajke_0168_01,Sarwad,28,পরে আমি মামলা তুলে নিই। দীর্ঘদিন আমরা ঘর-সংসার করে আসছি। কিন্তু হঠাৎ সে তালাকের নোটিশ পাঠিয়েছে। কিন্তু আমি সংসার করতে চাই। তার বিরুদ্ধে কি আইনি পদক্ষেপ নিতে পারব?,"আগের মামলা তুলে নেওয়ার পর আমরা অনেক দিন সংসার করেছি। হঠাৎ স্বামী তালাকের নোটিশ পাঠিয়ে যোগাযোগ বন্ধ করেছে, কিন্তু আমি সংসার রাখতে চাই। আমি কি আইনি পদক্ষেপ নিতে পারি?",no,,
ajke_0174_01,Sarwad,62,"সম্প্রতি কোনো একটি ফেক ফেসবুক আইডি দিয়ে আমার আপত্তিকর কিছু ডিপফেক ছবি আমার স্বামীর কলিগদের কাছে পাঠানো হয়েছে। এরপর স্বামী বিষয়টি আমাকে জানালে আমিও বুঝে উঠতে পারছি না, এটা আসলে কে করছে। আইডিটা লন্ডনের লোকেশনে খোলা হয়েছে। এরপর সেই আইডি থেকে আমার ভাই ও বাবার নামে আপত্তিকর কথা লিখে বিভিন্ন পোস্ট করা হয়। সাইবার ক্রাইমে কীভাবে মামলা করলে আমি সর্বোচ্চ সাহায্য পাব?",ভুয়া ফেসবুক আইডি থেকে আমার ডিপফেক আপত্তিকর ছবি স্বামীর সহকর্মীদের পাঠানো হয়েছে। বিদেশি লোকেশন দেখানো ওই আইডি দিয়ে ভাই ও বাবাকে নিয়েও কুরুচিকর পোস্ট হচ্ছে। সাইবার আইনে সর্বোচ্চ সহায়তা পেতে কীভাবে মামলা করব?,no,,
ajke_0184_01,Sarwad,63,আমার এক কাজিনের মেয়ে দ্বাদশ শ্রেণিতে পড়েন। একদিন কলেজ শেষে বাড়ি ফেরার সময় এক লোক তাঁকে ভয় দেখিয়ে বাসায় নিয়ে গিয়ে যৌন হেনস্তা করেন। তারপর তাঁর কাছে টাকা দাবি করেন। ওই মেয়ে টাকা দেওয়ার কথা বলে বাড়ি এসে মানসিকভাবে ভেঙে পড়েন। এখন কলেজে যেতে ভয় পাচ্ছেন। তাঁর মা মানসম্মানের ভয়ে কিছু করতে বা কারও কাছে সাহায্য চাইতে পারছেন না। এখন কী করা উচিত?,"আমার এক আত্মীয়ের দ্বাদশ শ্রেণিপড়ুয়া মেয়েকে কলেজ থেকে ফেরার পথে ভয় দেখিয়ে বাসায় নিয়ে যৌন হেনস্তা করা হয় এবং টাকা চাওয়া হয়। সে ভেঙে পড়েছে, কলেজে যেতে ভয় পাচ্ছে; মা লোকলজ্জায় চুপ। এখন কী করা উচিত?",no,,
ajke_0202_01,Sarwad,73,"প্রশ্ন: আমি একজন সরকারি চাকরিজীবী। ২০১৬ সালে আমার বিয়ে হয়। চার বছর বয়সী একটি কন্যাসন্তান রয়েছে। স্বামীর সঙ্গে অনেক দিন ধরেই বনিবনা হচ্ছে না। ছয় মাস ধরে আমার বাবার বাড়িতে আছি। স্বামীকে তালাক দিতে চাই। কিন্তু এ কথা বললেই তিনি সন্তানকে আমার কাছ থেকে নিয়ে যাওয়ার ভয় দেখাচ্ছেন। আমি জানতে চাই, যদি স্বামীকে তালাক দিই, তাহলে আসলেই কি তিনি আমার সন্তানকে নিয়ে যেতে পারবেন? সন্তানের কাস্টডি নিজের কাছে রাখতে আমার কী করতে হবে?","আমার বিয়ে ২০১৬ সালে, চার বছরের একটি মেয়ে আছে। ছয় মাস ধরে বাবার বাড়িতে আছি এবং স্বামীকে তালাক দিতে চাই। তিনি সন্তান কেড়ে নেওয়ার ভয় দেখান। তালাকের পর মেয়েকে নিজের কাছে রাখতে কী করতে হবে?",no,,
lawy_0218_01,Sarwad,9,"বার বার আমিন দিয়ে জমি মেপে হয়রান, করণীয় কী?",বারবার আমিন এনে জমি মাপিয়ে আমাকে হয়রানি করা হচ্ছে। এটা বন্ধ করতে কী ব্যবস্থা নিতে পারি?,no,,
lawy_0242_01,Sarwad,11,গোপনে ধারণকৃত ভিডিও ও ছবি দিয়ে প্রতারণার শিকার হলে কী করবেন?,গোপনে তোলা ছবি বা ভিডিও ব্যবহার করে কেউ প্রতারণা করলে ভুক্তভোগীর কী আইনি করণীয় আছে?,no,,
lawy_0314_01,Sarwad,10,দানপত্র দলিল রেজিস্ট্রেশনের পরে সেটি পুনরায় বাতিল করা যায় কি?,দানপত্রের দলিল একবার রেজিস্ট্রি হয়ে গেলে পরে কি সেটি বাতিল করার সুযোগ আছে?,no,,
lawy_0533_01,Sarwad,8,বিজ্ঞাপনে মিথ্যাচার ও বর্ণবাদ : আইনি প্রতিকার কী?,কোনো বিজ্ঞাপনে মিথ্যা তথ্য ও বর্ণবাদী বক্তব্য থাকলে তার বিরুদ্ধে কী আইনি প্রতিকার পাওয়া যায়?,no,,
