"metric","value"
"verification_assignments","592"
"unique_qids","552"
"expected_qids","552"
"missing_qids","[]"
"unexpected_qids","[]"
"valid_assignments","515"
"invalid_assignments","0"
"none_assignments","34"
"unanswerable_assignments","43"
"double_annotated_qids","40"
"provision_level_agreements","22"
"remaining_disagreements","18"
"remaining_disagreement_qids","[""prot_0004_04"", ""prot_0009_01"", ""prot_0014_02"", ""prot_0043_01"", ""prot_0045_04"", ""prot_0046_04"", ""prot_0048_03"", ""prot_0055_01"", ""prot_0058_01"", ""prot_0065_06"", ""prot_0069_04"", ""prot_0085_05"", ""prot_0108_05"", ""prot_0109_03"", ""prot_0111_06"", ""prot_0112_04"", ""prot_0115_02"", ""prot_0135_02""]"
"adjudicated_disagreements","18"
"unresolved_adjudications","[]"
"unresolved_corrections","[]"
"paraphrases_filled","552"
"empty_paraphrases","[]"
"exact_copy_paraphrases","[]"
"shortened_below_half","22"
"shortened_paraphrases_awaiting_approval","[]"
"pii_flag_distribution","{""no"": 388, ""yes"": 164}"
"invalid_pii_flags","[]"
"pii_review_findings","[]"
"working_consistency_errors","[]"
"final_consistency_errors","[]"
"final_record_count","552"
