group,n,k,a,b,delta,ci_lo,ci_hi,significant
all,552,1,0.1322,0.1322,0.0,-0.029,0.029,False
all,552,5,0.2717,0.2699,0.0018,-0.0308,0.0362,False
all,552,10,0.3424,0.346,-0.0036,-0.038,0.0308,False
all,552,20,0.4185,0.413,0.0054,-0.029,0.0399,False
all,552,50,0.5399,0.538,0.0018,-0.0236,0.0272,False
all,552,100,0.6069,0.6069,0.0,0.0,0.0,False
english,333,1,0.0931,0.0871,0.006,-0.024,0.036,False
english,333,5,0.1742,0.1862,-0.012,-0.048,0.024,False
english,333,10,0.2192,0.2312,-0.012,-0.0511,0.027,False
english,333,20,0.2733,0.2793,-0.006,-0.048,0.039,False
english,333,50,0.4024,0.4084,-0.006,-0.042,0.03,False
english,333,100,0.4985,0.4985,0.0,0.0,0.0,False
bengali,108,1,0.2222,0.2593,-0.037,-0.1111,0.037,False
bengali,108,5,0.4815,0.4722,0.0093,-0.0648,0.0926,False
bengali,108,10,0.5741,0.5741,0.0,-0.0833,0.0833,False
bengali,108,20,0.6389,0.6759,-0.037,-0.1296,0.0556,False
bengali,108,50,0.7685,0.7778,-0.0093,-0.0463,0.0278,False
bengali,108,100,0.7963,0.7963,0.0,0.0,0.0,False
mixed,111,1,0.1622,0.1441,0.018,-0.0541,0.0901,False
mixed,111,5,0.3604,0.3243,0.036,-0.0631,0.1351,False
mixed,111,10,0.4865,0.4685,0.018,-0.0811,0.1081,False
mixed,111,20,0.6396,0.5586,0.0811,0.009,0.1622,True
mixed,111,50,0.7297,0.6937,0.036,0.0,0.0811,False
mixed,111,100,0.7477,0.7477,0.0,0.0,0.0,False
