group,n,k,a,b,delta,ci_lo,ci_hi,significant
all,552,1,0.1322,0.096,0.0362,0.0091,0.0652,True
all,552,5,0.2717,0.2391,0.0326,-0.0018,0.0652,False
all,552,10,0.3424,0.3243,0.0181,-0.0163,0.0525,False
all,552,20,0.4185,0.413,0.0054,-0.0308,0.0417,False
all,552,50,0.5399,0.5344,0.0054,-0.0217,0.0344,False
all,552,100,0.6069,0.6268,-0.0199,-0.0399,0.0,False
english,333,1,0.0931,0.0541,0.039,0.009,0.0721,True
english,333,5,0.1742,0.1592,0.015,-0.021,0.0511,False
english,333,10,0.2192,0.2222,-0.003,-0.042,0.036,False
english,333,20,0.2733,0.2883,-0.015,-0.0571,0.027,False
english,333,50,0.4024,0.4294,-0.027,-0.0631,0.009,False
english,333,100,0.4985,0.5315,-0.033,-0.0631,-0.006,True
bengali,108,1,0.2222,0.213,0.0093,-0.0648,0.0741,False
bengali,108,5,0.4815,0.4259,0.0556,-0.0278,0.1389,False
bengali,108,10,0.5741,0.5463,0.0278,-0.0648,0.1204,False
bengali,108,20,0.6389,0.6852,-0.0463,-0.1389,0.0463,False
bengali,108,50,0.7685,0.7407,0.0278,-0.0278,0.0926,False
bengali,108,100,0.7963,0.8056,-0.0093,-0.0463,0.0278,False
mixed,111,1,0.1622,0.1081,0.0541,-0.018,0.1261,False
mixed,111,5,0.3604,0.2973,0.0631,-0.036,0.1622,False
mixed,111,10,0.4865,0.4144,0.0721,-0.018,0.1622,False
mixed,111,20,0.6396,0.5225,0.1171,0.036,0.1982,True
mixed,111,50,0.7297,0.6486,0.0811,0.027,0.1351,True
mixed,111,100,0.7477,0.7387,0.009,-0.018,0.045,False
