group,n,k,a,b,delta,ci_lo,ci_hi,significant
all,552,1,0.1322,0.096,0.0362,0.0163,0.0562,True
all,552,5,0.2699,0.2391,0.0308,0.0072,0.0562,True
all,552,10,0.346,0.3243,0.0217,-0.0018,0.0453,False
all,552,20,0.413,0.413,0.0,-0.0254,0.0254,False
all,552,50,0.538,0.5344,0.0036,-0.0181,0.0254,False
all,552,100,0.6069,0.6268,-0.0199,-0.0399,0.0,False
english,333,1,0.0871,0.0541,0.033,0.015,0.0541,True
english,333,5,0.1862,0.1592,0.027,0.0,0.0541,False
english,333,10,0.2312,0.2222,0.009,-0.021,0.039,False
english,333,20,0.2793,0.2883,-0.009,-0.042,0.024,False
english,333,50,0.4084,0.4294,-0.021,-0.0511,0.009,False
english,333,100,0.4985,0.5315,-0.033,-0.0631,-0.006,True
bengali,108,1,0.2593,0.213,0.0463,-0.0093,0.1019,False
bengali,108,5,0.4722,0.4259,0.0463,-0.0278,0.1204,False
bengali,108,10,0.5741,0.5463,0.0278,-0.0278,0.0833,False
bengali,108,20,0.6759,0.6852,-0.0093,-0.0463,0.0278,False
bengali,108,50,0.7778,0.7407,0.037,0.0,0.0833,False
bengali,108,100,0.7963,0.8056,-0.0093,-0.0463,0.0278,False
mixed,111,1,0.1441,0.1081,0.036,-0.018,0.0901,False
mixed,111,5,0.3243,0.2973,0.027,-0.027,0.0811,False
mixed,111,10,0.4685,0.4144,0.0541,0.0,0.1081,False
mixed,111,20,0.5586,0.5225,0.036,-0.018,0.0901,False
mixed,111,50,0.6937,0.6486,0.045,0.009,0.0901,True
mixed,111,100,0.7477,0.7387,0.009,-0.018,0.045,False
