group,n,k,a,b,delta,ci_lo,ci_hi,significant
all,480,1,0.0792,0.1292,-0.05,-0.0813,-0.0208,True
all,480,5,0.2396,0.2812,-0.0417,-0.0813,-0.0021,True
all,480,10,0.3229,0.3521,-0.0292,-0.0708,0.0104,False
all,480,20,0.3896,0.4333,-0.0437,-0.0854,-0.0042,True
all,480,50,0.5104,0.55,-0.0396,-0.0813,0.0,False
all,480,100,0.6,0.6271,-0.0271,-0.0646,0.0083,False
english,301,1,0.0332,0.0963,-0.0631,-0.0997,-0.0299,True
english,301,5,0.1262,0.2193,-0.093,-0.1362,-0.0498,True
english,301,10,0.1927,0.2658,-0.0731,-0.1163,-0.0299,True
english,301,20,0.2525,0.3455,-0.093,-0.1429,-0.0465,True
english,301,50,0.3721,0.4651,-0.093,-0.1429,-0.0432,True
english,301,100,0.4618,0.5216,-0.0598,-0.1096,-0.0133,True
bengali,98,1,0.1837,0.2551,-0.0714,-0.1429,0.0,False
bengali,98,5,0.4694,0.449,0.0204,-0.0714,0.1122,False
bengali,98,10,0.5612,0.551,0.0102,-0.0918,0.1122,False
bengali,98,20,0.6429,0.6224,0.0204,-0.0714,0.1122,False
bengali,98,50,0.7551,0.7347,0.0204,-0.0714,0.1122,False
bengali,98,100,0.8673,0.8469,0.0204,-0.051,0.0918,False
mixed,81,1,0.1235,0.0988,0.0247,-0.0617,0.1111,False
mixed,81,5,0.3827,0.3086,0.0741,-0.0617,0.2099,False
mixed,81,10,0.5185,0.4321,0.0864,-0.0494,0.2099,False
mixed,81,20,0.5926,0.5309,0.0617,-0.0494,0.1728,False
mixed,81,50,0.7284,0.642,0.0864,0.0,0.1728,False
mixed,81,100,0.7901,0.7531,0.037,-0.037,0.1111,False
