group,n,k,a,b,delta,ci_lo,ci_hi,significant
all,480,1,0.0792,0.0979,-0.0187,-0.0479,0.0104,False
all,480,5,0.2396,0.2333,0.0063,-0.0312,0.0437,False
all,480,10,0.3229,0.3354,-0.0125,-0.0542,0.0292,False
all,480,20,0.3896,0.4188,-0.0292,-0.0729,0.0146,False
all,480,50,0.5104,0.5229,-0.0125,-0.0563,0.0312,False
all,480,100,0.6,0.6062,-0.0063,-0.0458,0.0333,False
english,301,1,0.0332,0.0797,-0.0465,-0.0797,-0.0133,True
english,301,5,0.1262,0.1661,-0.0399,-0.0797,0.0,False
english,301,10,0.1927,0.2625,-0.0698,-0.1163,-0.0233,True
english,301,20,0.2525,0.3422,-0.0897,-0.1395,-0.0399,True
english,301,50,0.3721,0.4651,-0.093,-0.1462,-0.0399,True
english,301,100,0.4618,0.5249,-0.0631,-0.113,-0.0133,True
bengali,98,1,0.1837,0.1837,0.0,-0.0816,0.0714,False
bengali,98,5,0.4694,0.4184,0.051,-0.0408,0.1429,False
bengali,98,10,0.5612,0.5204,0.0408,-0.0612,0.1429,False
bengali,98,20,0.6429,0.602,0.0408,-0.0612,0.1429,False
bengali,98,50,0.7551,0.6735,0.0816,-0.0102,0.1735,False
bengali,98,100,0.8673,0.7959,0.0714,-0.0204,0.1633,False
mixed,81,1,0.1235,0.0617,0.0617,-0.0247,0.1481,False
mixed,81,5,0.3827,0.2593,0.1235,-0.0123,0.2469,False
mixed,81,10,0.5185,0.3827,0.1358,0.0,0.2716,False
mixed,81,20,0.5926,0.4815,0.1111,-0.0123,0.2222,False
mixed,81,50,0.7284,0.5556,0.1728,0.0741,0.2716,True
mixed,81,100,0.7901,0.679,0.1111,0.0247,0.1975,True
