group,n,k,a,b,delta,ci_lo,ci_hi,significant
all,552,1,0.1087,0.0833,0.0254,0.0,0.0507,False
all,552,5,0.2572,0.2192,0.038,0.0,0.0761,False
all,552,10,0.3496,0.3297,0.0199,-0.0199,0.0598,False
all,552,20,0.4366,0.4149,0.0217,-0.0199,0.0634,False
all,552,50,0.5598,0.5562,0.0036,-0.0326,0.038,False
all,552,100,0.6395,0.6576,-0.0181,-0.0507,0.0145,False
english,333,1,0.0691,0.024,0.045,0.018,0.0721,True
english,333,5,0.1742,0.1111,0.0631,0.024,0.1051,True
english,333,10,0.2492,0.2012,0.048,0.0,0.0961,False
english,333,20,0.3183,0.2823,0.036,-0.015,0.0871,False
english,333,50,0.4535,0.4204,0.033,-0.015,0.0811,False
english,333,100,0.5465,0.5495,-0.003,-0.0511,0.042,False
bengali,108,1,0.2222,0.1759,0.0463,-0.0185,0.1111,False
bengali,108,5,0.4444,0.4352,0.0093,-0.0833,0.1111,False
bengali,108,10,0.5463,0.5463,0.0,-0.0833,0.0926,False
bengali,108,20,0.6759,0.6019,0.0741,-0.0185,0.1667,False
bengali,108,50,0.75,0.7407,0.0093,-0.0648,0.0926,False
bengali,108,100,0.8056,0.7963,0.0093,-0.0556,0.0741,False
mixed,111,1,0.1171,0.1712,-0.0541,-0.1261,0.018,False
mixed,111,5,0.3243,0.3333,-0.009,-0.1171,0.1081,False
mixed,111,10,0.4595,0.5045,-0.045,-0.1622,0.0721,False
mixed,111,20,0.5586,0.6306,-0.0721,-0.1802,0.036,False
mixed,111,50,0.6937,0.7838,-0.0901,-0.1622,-0.018,True
mixed,111,100,0.7568,0.8468,-0.0901,-0.1532,-0.036,True
