group,n,k,a,b,delta,ci_lo,ci_hi,significant
all,552,1,0.1087,0.096,0.0127,0.0,0.0272,False
all,552,5,0.2572,0.2391,0.0181,-0.0036,0.0399,False
all,552,10,0.3496,0.3243,0.0254,0.0054,0.0453,True
all,552,20,0.4366,0.413,0.0236,0.0036,0.0435,True
all,552,50,0.5598,0.5344,0.0254,0.0054,0.0453,True
all,552,100,0.6395,0.6268,0.0127,-0.0054,0.0308,False
english,333,1,0.0691,0.0541,0.015,0.0,0.033,False
english,333,5,0.1742,0.1592,0.015,-0.012,0.042,False
english,333,10,0.2492,0.2222,0.027,0.006,0.048,True
english,333,20,0.3183,0.2883,0.03,0.006,0.0571,True
english,333,50,0.4535,0.4294,0.024,0.0,0.0511,False
english,333,100,0.5465,0.5315,0.015,-0.009,0.039,False
bengali,108,1,0.2222,0.213,0.0093,-0.0278,0.0463,False
bengali,108,5,0.4444,0.4259,0.0185,-0.0185,0.0556,False
bengali,108,10,0.5463,0.5463,0.0,-0.0556,0.0463,False
bengali,108,20,0.6759,0.6852,-0.0093,-0.0556,0.037,False
bengali,108,50,0.75,0.7407,0.0093,-0.0278,0.0463,False
bengali,108,100,0.8056,0.8056,0.0,-0.037,0.037,False
mixed,111,1,0.1171,0.1081,0.009,-0.018,0.036,False
mixed,111,5,0.3243,0.2973,0.027,-0.027,0.0811,False
mixed,111,10,0.4595,0.4144,0.045,-0.009,0.0991,False
mixed,111,20,0.5586,0.5225,0.036,0.009,0.0721,True
mixed,111,50,0.6937,0.6486,0.045,0.0,0.0901,False
mixed,111,100,0.7568,0.7387,0.018,-0.027,0.0631,False
