group,n,k,a,b,delta,ci_lo,ci_hi,significant
all,552,1,0.0833,0.096,-0.0127,-0.0362,0.0109,False
all,552,5,0.2192,0.2391,-0.0199,-0.058,0.0199,False
all,552,10,0.3297,0.3243,0.0054,-0.0344,0.0471,False
all,552,20,0.4149,0.413,0.0018,-0.0399,0.0435,False
all,552,50,0.5562,0.5344,0.0217,-0.0145,0.058,False
all,552,100,0.6576,0.6268,0.0308,-0.0018,0.0616,False
english,333,1,0.024,0.0541,-0.03,-0.0541,-0.006,True
english,333,5,0.1111,0.1592,-0.048,-0.0901,-0.006,True
english,333,10,0.2012,0.2222,-0.021,-0.0691,0.027,False
english,333,20,0.2823,0.2883,-0.006,-0.0571,0.045,False
english,333,50,0.4204,0.4294,-0.009,-0.0541,0.039,False
english,333,100,0.5495,0.5315,0.018,-0.024,0.0631,False
bengali,108,1,0.1759,0.213,-0.037,-0.1019,0.0278,False
bengali,108,5,0.4352,0.4259,0.0093,-0.0833,0.1019,False
bengali,108,10,0.5463,0.5463,0.0,-0.1019,0.0926,False
bengali,108,20,0.6019,0.6852,-0.0833,-0.1852,0.0185,False
bengali,108,50,0.7407,0.7407,0.0,-0.0833,0.0833,False
bengali,108,100,0.7963,0.8056,-0.0093,-0.0833,0.0556,False
mixed,111,1,0.1712,0.1081,0.0631,-0.009,0.1351,False
mixed,111,5,0.3333,0.2973,0.036,-0.0811,0.1532,False
mixed,111,10,0.5045,0.4144,0.0901,-0.027,0.1982,False
mixed,111,20,0.6306,0.5225,0.1081,0.0,0.2162,False
mixed,111,50,0.7838,0.6486,0.1351,0.0541,0.2162,True
mixed,111,100,0.8468,0.7387,0.1081,0.045,0.1712,True
