group,n,k,a,b,delta,ci_lo,ci_hi,significant
all,552,1,0.0091,0.096,-0.087,-0.1123,-0.0634,True
all,552,5,0.0344,0.2391,-0.2047,-0.2428,-0.1667,True
all,552,10,0.0598,0.3243,-0.2645,-0.3043,-0.221,True
all,552,20,0.1105,0.413,-0.3025,-0.346,-0.2572,True
all,552,50,0.2192,0.5344,-0.3152,-0.3605,-0.2681,True
all,552,100,0.3134,0.6268,-0.3134,-0.3623,-0.2645,True
english,333,1,0.006,0.0541,-0.048,-0.0721,-0.024,True
english,333,5,0.024,0.1592,-0.1351,-0.1802,-0.0931,True
english,333,10,0.045,0.2222,-0.1772,-0.2282,-0.1291,True
english,333,20,0.0961,0.2883,-0.1922,-0.2462,-0.1381,True
english,333,50,0.2042,0.4294,-0.2252,-0.2823,-0.1682,True
english,333,100,0.3033,0.5315,-0.2282,-0.2883,-0.1682,True
bengali,108,1,0.0278,0.213,-0.1852,-0.2685,-0.1111,True
bengali,108,5,0.0833,0.4259,-0.3426,-0.4444,-0.2407,True
bengali,108,10,0.1204,0.5463,-0.4259,-0.5278,-0.3241,True
bengali,108,20,0.1759,0.6852,-0.5093,-0.6111,-0.4074,True
bengali,108,50,0.213,0.7407,-0.5278,-0.6296,-0.4259,True
bengali,108,100,0.2778,0.8056,-0.5278,-0.6296,-0.4167,True
mixed,111,1,0.0,0.1081,-0.1081,-0.1712,-0.0541,True
mixed,111,5,0.018,0.2973,-0.2793,-0.3694,-0.1892,True
mixed,111,10,0.045,0.4144,-0.3694,-0.4595,-0.2793,True
mixed,111,20,0.0901,0.5225,-0.4324,-0.5405,-0.3333,True
mixed,111,50,0.2703,0.6486,-0.3784,-0.4865,-0.2703,True
mixed,111,100,0.3784,0.7387,-0.3604,-0.4685,-0.2523,True
