group,n,k,a,b,delta,ci_lo,ci_hi,significant
all,552,1,0.096,0.0199,0.0761,0.0543,0.0996,True
all,552,5,0.2391,0.0471,0.192,0.1576,0.2264,True
all,552,10,0.3243,0.067,0.2572,0.2192,0.2953,True
all,552,20,0.413,0.0779,0.3351,0.2953,0.3768,True
all,552,50,0.5344,0.1123,0.4221,0.3786,0.4638,True
all,552,100,0.6268,0.1341,0.4928,0.4475,0.5362,True
english,333,1,0.0541,0.0,0.0541,0.03,0.0781,True
english,333,5,0.1592,0.0,0.1592,0.1201,0.2012,True
english,333,10,0.2222,0.0,0.2222,0.1802,0.2673,True
english,333,20,0.2883,0.003,0.2853,0.2372,0.3333,True
english,333,50,0.4294,0.006,0.4234,0.3724,0.4775,True
english,333,100,0.5315,0.006,0.5255,0.4715,0.5796,True
bengali,108,1,0.213,0.0926,0.1204,0.0556,0.1852,True
bengali,108,5,0.4259,0.1852,0.2407,0.1574,0.3241,True
bengali,108,10,0.5463,0.25,0.2963,0.2037,0.3889,True
bengali,108,20,0.6852,0.2685,0.4167,0.3148,0.5185,True
bengali,108,50,0.7407,0.3519,0.3889,0.2963,0.4815,True
bengali,108,100,0.8056,0.3889,0.4167,0.3241,0.5093,True
mixed,111,1,0.1081,0.009,0.0991,0.036,0.1622,True
mixed,111,5,0.2973,0.0541,0.2432,0.1532,0.3423,True
mixed,111,10,0.4144,0.0901,0.3243,0.2252,0.4234,True
mixed,111,20,0.5225,0.1171,0.4054,0.3063,0.5045,True
mixed,111,50,0.6486,0.1982,0.4505,0.3514,0.5495,True
mixed,111,100,0.7387,0.2703,0.4685,0.3604,0.5676,True
