group,n,k,a,b,delta,ci_lo,ci_hi,significant
all,480,1,0.0042,0.0042,0.0,-0.0083,0.0083,False
all,480,5,0.0083,0.0125,-0.0042,-0.0167,0.0083,False
all,480,10,0.0083,0.0292,-0.0208,-0.0375,-0.0042,True
all,480,20,0.0104,0.0354,-0.025,-0.0437,-0.0063,True
all,480,50,0.025,0.0542,-0.0292,-0.0542,-0.0042,True
all,480,100,0.0458,0.0708,-0.025,-0.0521,0.0021,False
english,301,1,0.0033,0.0,0.0033,0.0,0.01,False
english,301,5,0.0066,0.0,0.0066,0.0,0.0166,False
english,301,10,0.0066,0.0033,0.0033,-0.0066,0.0166,False
english,301,20,0.0066,0.0033,0.0033,-0.0066,0.0166,False
english,301,50,0.01,0.0033,0.0066,-0.0066,0.0199,False
english,301,100,0.0266,0.0033,0.0233,0.0066,0.0432,True
bengali,98,1,0.0,0.0102,-0.0102,-0.0306,0.0,False
bengali,98,5,0.0,0.051,-0.051,-0.102,-0.0102,True
bengali,98,10,0.0,0.102,-0.102,-0.1633,-0.051,True
bengali,98,20,0.0102,0.1327,-0.1224,-0.1939,-0.051,True
bengali,98,50,0.0612,0.1939,-0.1327,-0.2245,-0.0306,True
bengali,98,100,0.0918,0.2653,-0.1735,-0.2755,-0.0816,True
mixed,81,1,0.0123,0.0123,0.0,-0.037,0.037,False
mixed,81,5,0.0247,0.0123,0.0123,-0.0247,0.0617,False
mixed,81,10,0.0247,0.037,-0.0123,-0.0617,0.037,False
mixed,81,20,0.0247,0.037,-0.0123,-0.0617,0.037,False
mixed,81,50,0.037,0.0741,-0.037,-0.1111,0.037,False
mixed,81,100,0.0617,0.0864,-0.0247,-0.0988,0.0494,False
