group,n,k,a,b,delta,ci_lo,ci_hi,significant
all,552,1,0.0199,0.0217,-0.0018,-0.0091,0.0036,False
all,552,5,0.0471,0.0399,0.0072,0.0018,0.0145,True
all,552,10,0.067,0.0616,0.0054,-0.0018,0.0145,False
all,552,20,0.0779,0.0725,0.0054,-0.0036,0.0145,False
all,552,50,0.1123,0.1014,0.0109,-0.0018,0.0236,False
all,552,100,0.1341,0.1214,0.0127,0.0018,0.0254,True
english,333,1,0.0,0.0,0.0,0.0,0.0,False
english,333,5,0.0,0.0,0.0,0.0,0.0,False
english,333,10,0.0,0.0,0.0,0.0,0.0,False
english,333,20,0.003,0.006,-0.003,-0.009,0.0,False
english,333,50,0.006,0.006,0.0,0.0,0.0,False
english,333,100,0.006,0.006,0.0,0.0,0.0,False
bengali,108,1,0.0926,0.1019,-0.0093,-0.037,0.0185,False
bengali,108,5,0.1852,0.1759,0.0093,0.0,0.0278,False
bengali,108,10,0.25,0.2407,0.0093,0.0,0.0278,False
bengali,108,20,0.2685,0.25,0.0185,0.0,0.0463,False
bengali,108,50,0.3519,0.3333,0.0185,-0.0278,0.0648,False
bengali,108,100,0.3889,0.3889,0.0,-0.037,0.037,False
mixed,111,1,0.009,0.009,0.0,0.0,0.0,False
mixed,111,5,0.0541,0.027,0.027,0.0,0.0631,False
mixed,111,10,0.0901,0.0721,0.018,-0.018,0.0541,False
mixed,111,20,0.1171,0.0991,0.018,-0.018,0.0541,False
mixed,111,50,0.1982,0.1622,0.036,0.0,0.0811,False
mixed,111,100,0.2703,0.2072,0.0631,0.018,0.1081,True
