metric,value
chunks_civil_registration,84
chunks_constitutional,170
chunks_consumer,697
chunks_criminal_procedure,1812
chunks_cybercrime,159
chunks_family,586
chunks_labour,628
chunks_land,717
chunks_local_government,502
chunks_money_recovery,389
chunks_other,33307
chunks_road_transport,134
chunks_tenancy,45
chunks_women_children,254
chunks_total,39484
provisions_total,35938
acts_total,1227
words_median,73
words_p95,250
words_max,400
chunks_under_20_words,3710
chunks_over_400_words,0
chunks_missing_citation,0
