variant,split,pairs,questions,provisions,topics,english,bengali,anchored
strict,train,11395,1239,2010,30,5689,5706,7997
strict,dev,1470,165,410,6,440,1030,990
full,train,16183,1239,2111,30,8767,7416,12598
full,dev,1701,165,422,6,441,1260,1206
strict,train,7585,826,1557,30,3791,3794,5331
strict,dev,983,110,304,6,280,703,660
strict,train,7586,826,1557,30,3791,3795,5332
strict,dev,983,110,304,6,280,703,660
anchor,train,5332,826,173,30,2558,2774,5332
anchor,dev,660,94,29,5,140,520,660
full,train,10790,826,1654,30,5849,4941,8400
full,dev,1134,110,314,6,280,854,804
anchor,train,4408,1436,168,30,1848,2560,4408
anchor,dev,748,184,29,5,208,540,748
